GPE	Phālguna
GPE	Mavulu
PERSON	Navī
PERSON	mpu guru
PERSON	Ḍayā
NORP	Bayal
GPE	Vuru Tuṅgal
GPE	Vijah
ORG	Bhūmi
GPE	Vuru Tuṅgal
PERSON	Navī
WORK_OF_ART	the Master Ḍayā
GPE	Təguhan
GPE	Pilaṅ
ORG	Paṅgil Hyaṅ
GPE	Valakas
ORG	Valakas
PERSON	Bhāskara
ORG	Valaiṅ
ORG	Valaiṅ
ORG	Pakambaṅan
ORG	Taṅga
PERSON	Hino
PERSON	Ra Tira
PERSON	Limo
PERSON	Pagar Vsi
GPE	Pilaṅ
PERSON	Buddha
PERSON	Vīracandradeva
FAC	the Great King Satyāśraya-Śrī-Polikeśivallabha
ORG	Calikyas
GPE	Mānavya
PERSON	Kārttikeya
ORG	Nārāyaṇa
ORG	Vanavāsī
FAC	the Great King Śrī-Satyāśraya
QUANTITY	five hundred and thirty-four
NORP	Śaka
GPE	Bhādrapada
GPE	Mākarappi
GPE	Rolkūṟuki
GPE	Kadappa
GPE	Vātāpīnagarī
PERSON	Jyeṣṭhaśarmā
GPE	Umbarakheda
GPE	Vāsiṣṭha
PRODUCT	Taittirīyas
LOC	Tagara
ORG	Sagara, &c.
GPE	Mahārāja
ORG	Satyāśraya-Pulekeśin II
PERSON	Mahādeva
GPE	Benīra
PERSON	nivartanas
GPE	Dhutipura
PERSON	nivartanas
ORG	Āgariyapura
PERSON	Kr̥ṣṇapura
ORG	Devarolaka
GPE	Harasena
PERSON	Vaiśikācārya
PERSON	Kārttika
ORG	Īśāna
PERSON	Sagara
PERSON	Hail
NORP	Kīrtivarma
NORP	Calukyas
ORG	lotus-feet
PERSON	Gurus
GPE	Pulakeśi
ORG	Satyāśraya
ORG	Vallabha
PERSON	Kali
ORG	Mūgamūr
PERSON	Śāṇḍilyāyana
ORG	Āpastamba
GPE	Irbuli
PERSON	Balāka
GPE	Karmakāra
PERSON	Kārttika
PERSON	Jinendra
PERSON	Calukya
LOC	earth
PERSON	Satyāśraya
WORK_OF_ART	Favourite of the Earth
PERSON	Calukya
PERSON	Jayasiṁha
WORK_OF_ART	Fortune
FAC	the moon’s Beauty
WORK_OF_ART	Fortune
ORG	Vātāpipurī
PERSON	Kīrtivarman
TIME	the night
PERSON	Naḷas
ORG	Mauryas
ORG	Kadambas
ORG	Kadambas
PERSON	Maṅgaleśa
WORK_OF_ART	the Fortune of the Kaṭaccuris
PERSON	Revatī
GPE	Varuṇa
ORG	Nahuṣa’s
WORK_OF_ART	Fortune
PERSON	Maṅgaleśa
ORG	Govinda
ORG	Vanavāsī
GPE	Varadā
ORG	Gaṅga
PERSON	Āḷupa
ORG	Koṅkaṇas
ORG	Mauryas
GPE	Pura
ORG	Purī
PERSON	Lāṭas
PRODUCT	Mālavas
ORG	Gūrjaras
PERSON	Harṣa
ORG	lotus-feet
PERSON	harṣa
PERSON	Vindhya
ORG	Revā
PERSON	Indra
ORG	Mahārāṣṭrakas
LOC	earth
GPE	Kaliṅgas
PERSON	Kosalas
PERSON	Piṣṭapura
PERSON	Kali
GPE	Pallavas
GPE	Kāñcīpura
GPE	Coḷas
PERSON	Kāverī
GPE	Coḷas
GPE	Keraḷas
