GPE	Phālguna
ORDINAL	second
PERSON	Mavulu
GPE	Vagai‚
DATE	Sunday
PERSON	ḍaṁ Navī
QUANTITY	16 suvarṇa
QUANTITY	10 māṣa
QUANTITY	2 kupaṅ
CARDINAL	5
PERSON	pu Latī
PERSON	Bayal
GPE	Vuru Tuṅgal
PERSON	Vijah
PERSON	Bhūmi
GPE	Vuru Tuṅgal
CARDINAL	1v3
PERSON	saṅ Təguhan
GPE	Pilaṅ
GPE	Paṅgil Hyaṅ
GPE	Valakas
GPE	Valakas
PERSON	Bhāskara
GPE	Valaiṅ
GPE	Valaiṅ
GPE	saṅ Pakambaṅan
GPE	Taṅga
GPE	Hino
GPE	Ra Tira
GPE	Limo
GPE	Pagar Vsi
PERSON	the Lord of Pilaṅ
CARDINAL	hundred
PERSON	Buddha
PERSON	Vīracandradeva
PERSON	Satyāśraya-Śrī-Polikeśivallabha
NORP	Calikyas
PERSON	Mānavya
NORP	Hāritī[
CARDINAL	seven
CARDINAL	seven
PERSON	Kārttikeya
PERSON	Nārāyaṇa
PERSON	Kīrttivarmavallabha[
GPE	Vanavāsī
PERSON	Satyāśraya
ORDINAL	second
CARDINAL	hundred
DATE	five hundred and thirty-four
DATE	the third year
PERSON	Bhādrapada
GPE	Mākarappi
GPE	Rolkūṟuki
GPE	Kadappa
GPE	Vātāpīnagarī
CARDINAL	five
PERSON	Jyeṣṭhaśarmā
PERSON	Umbarakheda
GPE	Vāsiṣṭha
GPE	Taittirīyas
GPE	Tagara
CARDINAL	four
CARDINAL	five
CARDINAL	thousands
PERSON	Vyāsa
NORP	Vedas
PERSON	Sagara
DATE	sixty thousand years
LOC	the Vindhya mountains
GPE	Mahārāja
EVENT	Satyāśraya-Pulekeśin II
CARDINAL	four
PERSON	Mahādeva
CARDINAL	four
CARDINAL	4
GPE	Benīra
CARDINAL	eight
CARDINAL	8
GPE	Dhutipura
CARDINAL	five
CARDINAL	5
CARDINAL	five
GPE	Āgariyapura
GPE	Kr̥ṣṇapura
CARDINAL	fifty
CARDINAL	50
LOC	Devarolaka-bhūmi
PERSON	Harasena
PRODUCT	Vaiśikācārya
PERSON	Kārttika
DATE	the year 6
PERSON	Sagara
DATE	sixty thousand years
PERSON	Kīrtivarma-Pr̥thivivallabha-Mahārāja
NORP	Calukyas
NORP	Gurus
PERSON	Pulakeśi-Pr̥thivivallabha-Mahārāja
PERSON	Satyāśraya
PERSON	Vallabha
PERSON	Pr̥thiviyuvarāja
PERSON	the Brāhmaṇa Vedaśarman
GPE	Mūgamūr
LOC	Śāṇḍilyāyana-gotra
QUANTITY	eight hundred nivartanas
GPE	Irbuli
GPE	Karma-rāṣṭra
LOC	the Balāka-palvala pond
LOC	Karmakāra-taṭāka
GPE	Koṇḍav[
GPE	Virpaṟu
DATE	the year twenty-one
GPE	Kārttika
ORDINAL	ninth
DATE	Thursday
PERSON	Pr̥thiviyuvarāja
PERSON	Jinendra
NORP	Calukya
PERSON	Satyāśraya
WORK_OF_ART	Favourite of the Earth
NORP	Calukya
PERSON	Jayasiṁha-vallabha
CARDINAL	hundreds
CARDINAL	thousands
PERSON	Fortune
PERSON	Raṇarāga
CARDINAL	one
PERSON	Polekeśin
ORG	Fortune
ORG	Vātāpipurī
CARDINAL	three
PERSON	Kīrtivarman
NORP	Naḷas
NORP	Mauryas
PERSON	Kadambas
GPE	Kadambas
PERSON	Maṅgaleśa
PERSON	the Fortune of the Kaṭaccuris
CARDINAL	hundreds
GPE	Revatī
NORP	Varuṇa’s
PERSON	Polekeśin
PERSON	Nahuṣa’s
PERSON	Fortune
PERSON	Maṅgaleśa
PERSON	Him
PERSON	Āppāyika
PERSON	Govinda
NORP	Bhaimarathī
PERSON	Vanavāsī
LOC	Varadā
DATE	days
CARDINAL	seven
PERSON	Gaṅga
NORP	Āḷupa
GPE	Koṅkaṇas
PERSON	Him
GPE	Pura
LOC	Purī
CARDINAL	hundreds
PERSON	Lāṭas
PERSON	Mālavas
PERSON	Gūrjaras
PERSON	Harṣa
LOC	Vindhya
PERSON	Indra
CARDINAL	three
CARDINAL	three
GPE	Mahārāṣṭrakas
CARDINAL	nine and ninety thousand
CARDINAL	three
NORP	Kaliṅgas
NORP	Kosalas
PERSON	Piṣṭapura
GPE	Kuṇāḷa
CARDINAL	hundreds
NORP	Pallavas
GPE	Kāñcīpura
PERSON	Coḷas
PERSON	Kāverī
NORP	Coḷas
NORP	Keraḷas
NORP	Pāṇḍyas
NORP	Pallavas
PERSON	Satyāśraya
PERSON	Brāhmaṇs
GPE	Vātāpī
CARDINAL	one
DATE	thirty and three thousand and five years
DATE	seven hundred years
EVENT	the Bhārata war
DATE	fifty and six and five hundred years
DATE	the Kali age
GPE	Jinendra
PERSON	Ravikīrti
PERSON	Satyāśraya
CARDINAL	three
PERSON	Jina
CARDINAL	three
PERSON	Ravikīrti
PERSON	Ravikīrti
PERSON	Jina
PERSON	Kālidāsa
PERSON	Bhāravi
PERSON	Viṣṇu
CARDINAL	three
CARDINAL	three
NORP	Calukyas
NORP	Mānavya
PERSON	Hāritiputras
ORDINAL	first
ORG	Vātāpī
NORP	Calukyas
NORP	Kinnaras
PERSON	Indra
NORP	Averetikā
PERSON	Sendrakas
PERSON	Maheśvara
PERSON	Senānandarāja
PERSON	Maheśvara
PERSON	Kr̥ṣṇasvāmin
CARDINAL	two
GPE	Āmravaṭavaka
CARDINAL	twenty
GPE	Avañcapalī
GPE	Vārubennā
CARDINAL	five
PERSON	Sagara
DATE	sixty thousand years
PERSON	Yudhiṣṭhira
PERSON	Hari
LOC	Earth
GPE	Satyāśraya
NORP	Culukis
NORP	Mānavya
PERSON	Hārīti
PERSON	Kauśikī
PERSON	Mother Goddesses
PERSON	Mahāsena
NORP	Bahusuvarṇaka
NORP	Aśvamedha
NORP	Pauṇḍarīka
NORP	Vājapeya
PERSON	mahārāja Pulikeśi Vallabha
ORDINAL	second
PERSON	Raṇavikrama Bold
PERSON	Battle
PERSON	Manu
GPE	Nr̥ga
GPE	Nahuṣa
GPE	Yayāti
GPE	Dhundhumāra
GPE	Ambarīṣa
GPE	Dilīpa
GPE	Nābhāga
PERSON	Kīrtivarman
PERSON	Parākrama Courage
LOC	Himalayas
PERSON	Raṇavikrama Bold
NORP	Brahmins
PERSON	the Bhagavat Viṣṇu
PERSON	Satyāśraya Pr̥thivīvallabha
GPE	Goviyāṇaka
GPE	Asikheṭaka
LOC	Moṣiṇī district pathaka
CARDINAL	five
GPE	Bali
PERSON	Caru
GPE	Vaiśvadeva
GPE	Agnihotra
PERSON	Dāmadīkṣita
NORP	Sāvarṇi
NORP	Maitrāyaṇika
NORP	Vārāhaka
GPE	Girinagara
GPE	Lohanagara
CARDINAL	five
PERSON	Vyāsa
NORP	Vedas
DATE	sixty millennia
GPE	Vindhyas
PERSON	Sagara
CARDINAL	five hundred and fifty-two
PERSON	Victorious is the Boar
NORP	Calukyas
PERSON	Mahāsena
NORP	Mānavya
PERSON	Hārītī
NORP	Agniṣṭoma
NORP	Agnicayana
NORP	Vājapeya
NORP	Pauṇḍarīka
NORP	Bahusuvarṇaka
NORP	Aśvamedha
PERSON	Calukya
PERSON	Kīrtivarman
PERSON	Hiraṇyagarbha
PERSON	Aśvamedha
GPE	Pulakeśin II
GPE	Tiyare
LOC	Sinnā
GPE	Devagaṇasvāmin
NORP	Kāśyapa
DATE	the full-moon day of the month Vaiśākha
PERSON	Sagara
DATE	sixty thousand years
PERSON	Vallabha
NORP	Calukyas
PERSON	Hāritī
PERSON	Mānavya
PERSON	Polekēśi-Vallabha
NORP	Brāhmaṇs
PERSON	Kuvaḷālahasu
CARDINAL	twenty-five
NORP	Varca
GPE	Vātāpī
DATE	sixty thousand years
DATE	as many years
PERSON	Yudhiṣṭhira
WORK_OF_ART	Vardhamānapura: Victorious
PERSON	Māras
PERSON	the King of Jinas
PERSON	Law
WORK_OF_ART	Triple World
PERSON	Bhadradatta
PERSON	Jinas
PERSON	Dharma
CARDINAL	two
NORP	Bhārata
PERSON	Purāṇas
PERSON	Rāmāyaṇa
PERSON	Gaurī
PERSON	Bindurati
PERSON	Viṣṇu
PERSON	Hiraṇyakaśipu
NORP	Buddhist
PERSON	Kāntideva
NORP	Harikelā
CARDINAL	one
CARDINAL	one
PRODUCT	Pūrṇacandra
PERSON	Suvarṇacandra
LOC	Agni kula
PERSON	Suvarṇacandra
PERSON	Suvarṇacandra
PERSON	Trailokyacandra
CARDINAL	three
CARDINAL	four
LOC	the Kṣīrodā river
GPE	Devaparvata
NORP	Kambojas
LOC	Lālambī forest
CARDINAL	hundred
GPE	Samataṭa
GPE	Vaṅga
GPE	Kr̥ṣṇaśikhari
